tr, amp, labels
173.358,10472.1,alpha
100.745,8989.27,carbon
121.701,9311.51,alpha
102.915,9288.03,carbon
102.478,5881.41,carbon
83.7172,6184.37,carbon
235.89,10465.8,alpha
217.827,10485.6,alpha
93.6874,7542.45,carbon
90.4677,6780.16,carbon
91.2797,10091.5,carbon
96.4026,5995.32,carbon
98.9835,4281.08,carbon
105.509,9337.91,carbon
181.904,9634.51,alpha
99.3634,13983.3,carbon
99.3507,8011.42,carbon
201.827,9627.94,alpha
99.827,14598.2,carbon
96.0569,6857.18,carbon
85.3631,7612.57,carbon
94.5763,7342.69,carbon
102.021,9053.09,carbon
172.916,10359.1,alpha
103.005,20611.6,carbon
93.37,11433.3,carbon
95.9423,8025.26,carbon
97.1028,4606.63,carbon
189.333,9816.56,alpha
95.99,7414,carbon
99.904,3907.99,carbon
207.6,10320,alpha
97.1305,12637.7,carbon
96.9641,4556.73,carbon
97.3699,7581.02,carbon
98.143,10909.7,carbon
100.304,8703.46,carbon
95.3803,8367.81,carbon
96.031,7296.78,carbon
107.17,8747.65,carbon
104.288,12848,carbon
95.2764,6179.69,carbon
95.9162,5589.16,carbon
106.458,11363,carbon
91.3814,5345.54,carbon
98.8298,5808.53,carbon
210.313,9743.39,alpha
159.854,9737.29,alpha
99.6785,8267.97,carbon
210.514,10435.5,alpha
96.0235,10131.3,carbon
97.8969,5372.21,carbon
106.166,11895.5,carbon
195.165,10461.9,alpha
101.573,16214.3,carbon
102.571,4876.91,carbon
95.9203,12921.7,carbon
113.937,9227.87,carbon
100.375,5858.18,carbon
97.6257,12272,carbon
100.15,10426.6,carbon
130.632,9823.95,alpha
94.5313,9816.84,carbon
96.3163,9093.56,carbon
96.3923,5845.86,carbon
102.161,7765.12,carbon
101.797,5237.55,carbon
225.757,8767.3,alpha
110.037,4381.72,carbon
106.38,5261.52,carbon
93.2907,13628.6,carbon
192.819,9486.93,alpha
83.8859,4501.6,carbon
86.8797,8831.98,carbon
224.384,10262.7,alpha
92.4201,3984.6,carbon
